ncid,vote_method_2020
AA63042,Absentee
AA63336,Absentee
AA64022,Absentee
AA64830,Absentee
AA66016,Absentee
AA69077,Absentee
AA69947,Absentee
AA71329,Absentee
AA74543,Absentee
AA74936,Absentee
AA75636,Absentee
AA76706,Absentee
AA77654,Absentee
AA78333,Absentee
AA79687,Absentee
AA79935,Absentee
AA80311,Absentee
AA81078,Absentee
AA82637,Absentee
AA82763,Absentee
AA82764,Absentee
AA83629,Absentee
AA85386,In-Person
AA8594,Absentee
AA89682,Absentee
AA90392,Absentee
AA91183,Absentee
AA91827,Absentee
AA92052,Absentee
AA92595,Absentee
AA92974,Absentee
AA93142,Absentee
AA93285,Absentee
AA93685,Absentee
AA94753,Absentee
AA94879,Absentee
AA96141,Absentee
AA96297,Absentee
AA96636,Absentee
AA96707,Absentee
AA97177,Absentee
AA97652,Absentee
AA97700,In-Person
AA97954,Absentee
AA98657,Absentee
AA98778,Absentee
AA98995,Absentee
AA99387,Absentee
AA99856,Absentee
AB18579,Absentee
AB19660,Absentee
AB30131,Absentee
AB30690,Absentee
AB35619,Absentee
AB35787,Absentee
AB36917,In-Person
AB37014,In-Person
AB39817,In-Person
AB39818,Absentee
AB40925,Absentee
AB42929,Absentee
AB42984,Absentee
AB45408,Absentee
AB46864,Absentee
AC11866,Absentee
AC13779,Absentee
AC15105,Absentee
AC15882,Absentee
AD10082,Absentee
AD16986,Absentee
AD19570,In-Person
AD20989,Absentee
AD21707,Absentee
AD22606,Absentee
AD23064,Absentee
AD24291,Absentee
AD24660,Absentee
AD24720,Absentee
AD24855,Absentee
AD25450,Absentee
AD27095,Absentee
AD27484,Absentee
AD28032,Absentee
AD28168,Absentee
AD28254,Other
AD28387,In-Person
AD28519,Absentee
AD30708,Absentee
AD31867,Absentee
AD31883,Absentee
AD34340,Absentee
AE19452,Absentee
AE19469,Absentee
AE21221,Absentee
AE22847,Absentee
AE22849,Absentee
AE23179,Absentee
AE24768,Absentee
AE25221,Absentee
AE25538,Absentee
AE26477,In-Person
AE27274,Absentee
AE27627,Absentee
AE28647,Absentee
AE30322,Absentee
AE31025,Absentee
AE32285,Absentee
AE34157,Absentee
AE34436,Absentee
AF16276,Absentee
AF17608,Absentee
AF17900,Absentee
AF18235,Absentee
AF19015,Absentee
AF20524,Absentee
AF20599,Absentee
AF21284,Absentee
AF22342,Absentee
AF22448,Absentee
AF22595,Absentee
AF23155,Absentee
AF23551,Absentee
AF24651,In-Person
AF25580,In-Person
AF25916,Absentee
AF26458,Absentee
AF26503,Absentee
AG11233,Absentee
AG12823,Absentee
AG13114,Absentee
AG20177,Absentee
AG25062,Absentee
AG26799,Absentee
AG28678,Absentee
AG30412,Absentee
AG32684,Absentee
AG33270,In-Person
AG36344,Absentee
AG37263,Absentee
AG38320,Absentee
AG38838,Absentee
AG39102,Absentee
AG39364,Absentee
AG40013,Absentee
AG40104,In-Person
AG40305,Absentee
AG40405,Absentee
AG41080,Absentee
AG41926,Absentee
AG42212,Absentee
AG42440,Absentee
AG42639,Absentee
AG42662,Absentee
AG42663,Absentee
AG43067,Absentee
AG43475,Absentee
AG43631,Absentee
AG43668,Absentee
AG43863,Absentee
AG44345,Absentee
AG44391,In-Person
AG44570,Absentee
AG44735,Absentee
AG44929,Absentee
AG44931,Absentee
AG44976,Absentee
AG45785,Absentee
AG45843,Absentee
AG46066,Absentee
AG46655,Absentee
AG46905,Absentee
AG46932,Absentee
AG46976,Absentee
AG47018,Absentee
AG47253,Absentee
AG47335,Absentee
AG47359,Absentee
AG47521,Absentee
AG47971,Absentee
AG48157,Absentee
AG49280,In-Person
AG50193,Absentee
AG50712,Absentee
AG50827,Absentee
AG50869,Absentee
AG51048,Absentee
AG51222,Absentee
AG51796,Absentee
AG53159,Absentee
AG53161,Absentee
AG55141,Absentee
AG55246,Absentee
AG56080,Absentee
AG56419,Absentee
AG56992,Absentee
AG57086,Absentee
AG57190,Absentee
AG57218,Absentee
AG57619,Absentee
AG57805,Absentee
AG57819,Absentee
AG57934,Absentee
AG58551,Absentee
AG59245,Absentee
AG60756,Absentee
AG61849,Absentee
AG63166,Absentee
AG65463,Absentee
AH16207,Absentee
AH17497,Absentee
AH17948,Absentee
AH18058,Absentee
AH18424,In-Person
AH18910,In-Person
AH18934,Absentee
AH19093,Absentee
AH19493,Absentee
AH20169,Absentee
AH20197,In-Person
AH20428,Absentee
AH20571,Absentee
AH21198,Absentee
AH21283,Absentee
AH23173,Absentee
AH23204,Absentee
AH23594,Absentee
AH23924,In-Person
AH24077,Absentee
AH25207,Absentee
AH25394,Absentee
AH25435,Absentee
AH25604,Absentee
AH26027,In-Person
AH2621,Absentee
AH26279,Absentee
AH27100,Absentee
AH28048,Absentee
AH9938,Absentee
AJ17021,Absentee
AJ18356,Absentee
AJ21214,Absentee
AJ30064,Absentee
AJ30197,Absentee
AJ30452,Absentee
AJ30630,Absentee
AJ30842,Absentee
AJ32020,Absentee
AJ32153,In-Person
AJ32281,Absentee
AJ32574,Absentee
AJ32657,Absentee
AJ32731,Absentee
AJ32772,Absentee
AJ32958,Absentee
AJ33725,Absentee
AJ33738,Absentee
AJ33739,Absentee
AJ35035,Absentee
AJ35086,In-Person
AJ35105,Absentee
AJ35340,Absentee
AJ35404,Absentee
AJ35944,Absentee
AJ37104,Absentee
AJ37337,Absentee
AJ37618,Absentee
AJ38269,Absentee
AJ38619,Absentee
AJ38861,Absentee
AJ38925,Absentee
AJ39336,Absentee
AJ41237,Absentee
AJ41435,In-Person
AJ41523,Absentee
AJ42180,Absentee
AJ42878,Absentee
AJ45128,Absentee
AJ46462,Absentee
AJ7876,Absentee
AK100658,Absentee
AK105096,Absentee
AK105519,Absentee
AK106185,Absentee
AK106812,Absentee
AK106884,Absentee
AK106885,Absentee
AK108128,Absentee
AK108249,In-Person
AK108801,Absentee
AK109803,Absentee
AK109861,Absentee
AK109985,Absentee
AK110913,Absentee
AK111065,Absentee
AK111087,Absentee
AK111295,Absentee
AK111695,In-Person
AK111822,Absentee
AK112461,Absentee
AK112489,Absentee
AK112879,Absentee
AK113087,Absentee
AK114043,In-Person
AK114878,Absentee
AK115833,Absentee
AK116003,Absentee
AK116069,Absentee
AK116846,In-Person
AK116851,Absentee
AK117330,Absentee
AK118310,Absentee
AK118402,Absentee
AK118648,Absentee
AK119148,Absentee
AK119235,In-Person
AK119657,Absentee
AK119973,Absentee
AK120308,Absentee
AK120789,Absentee
AK121235,Absentee
AK121465,Absentee
AK121497,Absentee
AK122054,Absentee
AK122097,Absentee
AK122211,Absentee
AK122569,Absentee
AK122687,Absentee
AK123639,Absentee
AK124940,Absentee
AK125163,Absentee
AK125224,Absentee
AK125231,Absentee
AK125266,Absentee
AK125461,Absentee
AK126849,Absentee
AK127084,Absentee
AK127442,Absentee
AK127876,Absentee
AK128232,Absentee
AK130011,Absentee
AK130326,Absentee
AK130756,Absentee
AK130844,Absentee
AK131710,In-Person
AK132686,Absentee
AK133011,Absentee
AK133023,Absentee
AK133092,Absentee
AK133221,Absentee
AK134196,Absentee
AK136342,Absentee
AK137883,Absentee
AK139057,Absentee
AK13958,Absentee
AK13959,Absentee
AK139623,Absentee
AK140914,Absentee
AK142731,Absentee
AK144308,Absentee
AK144312,Absentee
AK147198,Absentee
AK148877,Absentee
AK149934,Absentee
AK149945,Absentee
AK151173,Absentee
AK151369,Absentee
AK154960,Absentee
AK158545,Absentee
AK159310,Absentee
AK160839,Absentee
AK169316,Absentee
AK169506,Absentee
AK172109,Other
AK28737,Absentee
AK31740,Absentee
AK36112,Absentee
AK37935,Absentee
AK38659,Absentee
AK39048,Absentee
AK40722,Absentee
AK40737,Absentee
AK42259,Absentee
AK42590,Absentee
AK43079,In-Person
AK46469,Absentee
AK46949,Absentee
AK47359,Absentee
AK51867,Absentee
AK51868,Absentee
AK54237,Absentee
AK57285,Absentee
AK58024,Absentee
AK58105,Absentee
AK58829,Absentee
AK62123,Absentee
AK62293,Absentee
AK62645,Absentee
AK62646,Absentee
AK63144,Absentee
AK63691,Absentee
AK65290,Absentee
AK65325,Absentee
AK66125,Absentee
AK66374,Absentee
AK66838,Absentee
AK66839,Absentee
AK67487,Absentee
AK69001,Absentee
AK69002,Absentee
AK70592,In-Person
AK71820,Absentee
AK73328,Absentee
AK73674,Absentee
AK74155,In-Person
AK74786,Absentee
AK75001,Absentee
AK75047,Absentee
AK75653,Absentee
AK75867,Absentee
AK76005,Absentee
AK76006,Absentee
AK77207,Absentee
AK77366,Absentee
AK77378,Absentee
AK78170,Absentee
AK79696,Absentee
AK80287,Absentee
AK80398,Absentee
AK81066,Absentee
AK82168,Absentee
AK82231,Absentee
AK82905,Absentee
AK83377,Absentee
AK83613,Absentee
AK83798,Absentee
AK83870,Absentee
AK85191,Absentee
AK85359,Absentee
AK85360,Absentee
AK85432,Absentee
AK85820,In-Person
AK88678,Absentee
AK88733,In-Person
AK88909,Absentee
AK89179,Absentee
AK89413,Absentee
AK89962,Absentee
AK90992,Absentee
AK92599,Absentee
AK92603,Absentee
AK93163,Absentee
AK94601,Absentee
AK94603,Absentee
AK94708,Absentee
AK94960,In-Person
AK95271,In-Person
AK95556,Absentee
AK95834,Absentee
AK96509,Absentee
AK97473,Absentee
AK97510,In-Person
AK99706,Absentee
AL100088,Absentee
AL101275,Absentee
AL101575,Absentee
AL104105,Absentee
AL104151,In-Person
AL108642,Absentee
AL109078,Absentee
AL109499,Absentee
AL110233,Absentee
AL110263,Absentee
AL110626,Absentee
AL111880,Absentee
AL113493,Absentee
AL113855,Absentee
AL114737,Absentee
AL115773,Absentee
AL115925,Absentee
AL116324,Absentee
AL117066,Absentee
AL117422,Absentee
AL118212,Absentee
AL118252,Absentee
AL118777,Absentee
AL118796,Absentee
AL119757,Absentee
AL121925,Absentee
AL12209,Absentee
AL125385,Absentee
AL125650,Absentee
AL126593,Absentee
AL127660,In-Person
AL128643,Absentee
AL129200,Absentee
AL130115,Absentee
AL130126,Absentee
AL130248,Absentee
AL130518,Absentee
AL133069,Absentee
AL133621,Absentee
AL133750,In-Person
AL134332,Absentee
AL134378,Absentee
AL136004,Absentee
AL136316,Absentee
AL137750,Absentee
AL137853,Absentee
AL138174,Absentee
AL138402,In-Person
AL138750,Absentee
AL139110,Absentee
AL139910,Absentee
AL140290,Absentee
AL140440,Absentee
AL141556,In-Person
AL142078,Absentee
AL142357,Absentee
AL142544,Absentee
AL142968,Absentee
AL143398,Absentee
AL144716,Absentee
AL147240,Absentee
AL147562,Absentee
AL148281,Absentee
AL148595,Absentee
AL149025,Absentee
AL149183,Absentee
AL149973,Absentee
AL151149,Absentee
AL151450,Absentee
AL152273,Absentee
AL154083,Absentee
AL154480,Absentee
AL155151,Absentee
AL155926,Absentee
AL155930,In-Person
AL156114,In-Person
AL156840,Absentee
AL156918,Absentee
AL157363,Absentee
AL157391,Absentee
AL157937,Absentee
AL158071,Absentee
AL158072,Absentee
AL158504,Absentee
AL158826,Absentee
AL160445,Absentee
AL161274,Absentee
AL163115,Absentee
AL163377,Absentee
AL163590,Absentee
AL163960,Absentee
AL163973,Absentee
AL164577,Absentee
AL164756,Absentee
AL165180,Absentee
AL165205,Absentee
AL165296,Absentee
AL165931,Absentee
AL165998,Absentee
AL166183,Absentee
AL166294,Absentee
AL166875,Absentee
AL167555,Absentee
AL167657,Absentee
AL167841,Absentee
AL167944,Absentee
AL168010,Absentee
AL168648,Absentee
AL169083,Absentee
AL169831,Absentee
AL169844,Absentee
AL169956,Absentee
AL170746,Absentee
AL171083,Absentee
AL171272,Absentee
AL171388,Absentee
AL171412,Absentee
AL171429,Absentee
AL171488,Absentee
AL171763,In-Person
AL171896,Absentee
AL172891,Absentee
AL17300,Absentee
AL173023,Absentee
AL17322,Absentee
AL173361,Absentee
AL173430,Absentee
AL173989,Absentee
AL174001,Absentee
AL174679,In-Person
AL174682,Absentee
AL174986,Absentee
AL175134,Absentee
AL175283,Absentee
AL175724,Absentee
AL176096,Absentee
AL176463,Absentee
AL176654,Absentee
AL177258,Absentee
AL177439,Absentee
AL177855,Absentee
AL178211,Absentee
AL178656,Absentee
AL178972,Absentee
AL179103,Absentee
AL179578,Absentee
AL179582,Absentee
AL179959,Absentee
AL180125,Absentee
AL180413,Absentee
AL180434,In-Person
AL180696,Absentee
AL18117,Absentee
AL181335,In-Person
AL181338,Absentee
AL181476,Absentee
AL181487,Absentee
AL181529,Absentee
AL181726,Absentee
AL182156,Absentee
AL182451,Absentee
AL182765,In-Person
AL182812,Absentee
AL183325,Absentee
AL183510,Absentee
AL183758,Absentee
AL183886,Absentee
AL184899,Absentee
AL185005,Absentee
AL185194,Absentee
AL185245,Absentee
AL185315,Absentee
AL185465,Absentee
AL185595,Absentee
AL185666,Absentee
AL186001,Absentee
AL186061,Absentee
AL186185,Absentee
AL186426,Absentee
AL186461,Absentee
AL186564,Absentee
AL186671,Absentee
AL187230,Absentee
AL187582,Absentee
AL187753,Absentee
AL188072,In-Person
AL188313,Absentee
AL188440,Absentee
AL188713,Absentee
AL189306,Absentee
AL189586,Absentee
